avg_monthly_hours,department,last_evaluation,left,number_project,promotion_last_5years,salary,satisfaction_level,time_spend_company,work_accident
246,support,0.9,nao,4,nao,low,0.96,3,nao
221,technical,0.76,nao,4,nao,low,0.98,3,sim
215,technical,0.5700000000000001,nao,5,nao,low,0.67,4,nao
175,technical,0.72,nao,4,nao,low,0.72,4,nao
221,management,0.49,nao,5,nao,low,0.65,2,nao
219,IT,0.67,nao,5,nao,low,0.72,3,nao
154,IT,0.58,nao,3,nao,low,0.78,3,nao
266,IT,0.56,nao,3,nao,low,0.93,2,nao
224,IT,0.85,nao,5,nao,low,0.73,4,nao
269,IT,0.5700000000000001,nao,4,nao,low,0.2,5,sim
159,product_mng,0.5,nao,4,nao,low,0.47000000000000003,2,nao
247,product_mng,0.62,nao,4,nao,low,0.56,3,nao
137,product_mng,0.86,nao,4,nao,low,0.72,2,nao
251,product_mng,0.56,nao,4,nao,medium,0.91,4,nao
210,IT,0.49,nao,5,nao,medium,0.79,3,nao
123,RandD,0.75,nao,2,nao,medium,0.53,4,nao
253,RandD,0.51,nao,4,nao,medium,0.14,6,nao
242,RandD,0.92,nao,5,nao,medium,0.78,4,nao
238,RandD,0.74,nao,3,nao,medium,0.52,3,nao
151,RandD,0.68,nao,5,nao,medium,0.9400000000000001,2,nao
158,marketing,0.8,nao,4,nao,medium,0.8300000000000001,4,nao
120,marketing,0.68,nao,2,nao,medium,0.44,2,nao
187,sales,0.74,nao,3,nao,medium,0.72,2,nao
140,accounting,0.58,nao,3,nao,medium,0.84,3,nao
164,support,0.99,nao,3,nao,medium,0.76,2,nao
253,technical,0.9400000000000001,nao,5,nao,high,0.92,2,nao
235,management,0.93,nao,5,nao,low,0.58,2,nao
189,marketing,0.81,nao,4,nao,medium,0.85,4,nao
246,marketing,0.51,nao,4,nao,medium,0.74,3,sim
258,marketing,0.87,nao,4,nao,medium,0.74,2,nao
158,sales,0.8,nao,3,nao,medium,0.72,3,nao
173,sales,0.98,nao,4,nao,low,0.76,3,sim
201,sales,0.72,nao,3,nao,low,0.85,3,nao
185,sales,0.49,nao,5,nao,low,0.8200000000000001,3,nao
270,sales,0.93,nao,5,nao,low,0.6000000000000001,3,sim
152,sales,0.64,nao,3,nao,low,0.39,2,nao
211,sales,0.53,nao,3,nao,low,0.8300000000000001,4,sim
162,sales,0.92,nao,3,nao,low,0.7000000000000001,3,sim
253,sales,0.97,nao,4,nao,low,0.84,2,sim
236,sales,0.77,nao,4,nao,low,0.9,3,nao
231,sales,0.84,nao,4,nao,low,0.18,5,nao
231,sales,0.71,nao,2,nao,low,0.52,2,nao
233,sales,0.51,nao,4,nao,low,0.87,3,nao
217,sales,0.79,nao,5,nao,low,0.6000000000000001,2,nao
174,sales,0.93,nao,4,nao,low,0.72,2,nao
227,sales,0.64,nao,4,nao,low,0.48,3,nao
222,sales,0.53,nao,3,nao,low,0.75,2,nao
207,sales,0.55,nao,2,nao,low,0.85,6,nao
115,sales,0.41000000000000003,nao,6,nao,low,0.39,3,nao
254,accounting,0.68,nao,3,nao,low,0.61,2,nao
170,accounting,0.61,nao,4,nao,low,0.6000000000000001,3,nao
206,accounting,0.64,nao,2,nao,low,0.5700000000000001,3,nao
149,hr,0.68,nao,5,nao,medium,0.19,3,nao
197,hr,0.77,nao,3,nao,medium,0.48,3,nao
261,hr,0.75,nao,4,nao,medium,0.6900000000000001,3,nao
256,hr,0.55,nao,4,nao,medium,0.7000000000000001,4,nao
219,technical,0.92,nao,3,nao,medium,0.65,3,nao
143,technical,0.96,nao,4,nao,medium,0.81,3,sim
171,technical,0.9500000000000001,nao,4,nao,medium,0.85,3,nao
207,technical,0.76,nao,4,nao,medium,0.93,2,nao
235,technical,0.9400000000000001,nao,4,nao,medium,0.72,3,nao
173,technical,0.55,nao,2,nao,medium,0.49,3,nao
131,technical,0.47000000000000003,nao,5,nao,medium,0.9400000000000001,6,nao
143,technical,0.84,nao,4,nao,medium,0.81,2,nao
193,technical,0.78,nao,5,nao,high,0.92,4,nao
135,technical,0.8200000000000001,nao,3,nao,low,0.97,2,nao
265,technical,0.61,nao,4,nao,medium,0.98,2,sim
133,support,0.45,nao,3,nao,medium,0.44,2,sim
184,support,0.87,nao,4,nao,medium,0.72,4,nao
135,support,0.73,nao,5,nao,medium,0.8,3,nao
267,support,0.72,nao,4,nao,low,0.6000000000000001,4,nao
184,support,0.65,nao,4,nao,low,0.89,3,nao
227,support,0.5700000000000001,nao,5,nao,low,0.6900000000000001,2,nao
257,support,0.81,nao,4,nao,low,0.54,2,nao
235,support,0.75,nao,5,nao,low,0.97,3,sim
161,support,0.4,nao,4,nao,low,0.37,2,nao
215,support,0.52,nao,4,nao,low,0.73,3,nao
146,support,0.6900000000000001,nao,4,nao,low,0.5700000000000001,3,nao
191,technical,0.66,nao,4,nao,low,0.86,2,nao
261,technical,0.85,nao,4,nao,low,0.8300000000000001,3,nao
200,technical,0.52,nao,5,nao,low,0.19,5,nao
239,management,0.93,nao,4,nao,low,0.55,4,nao
160,IT,0.65,nao,4,nao,low,0.6000000000000001,2,nao
177,IT,0.71,nao,3,nao,low,0.62,3,sim
215,IT,0.55,nao,5,nao,low,0.65,2,nao
97,IT,0.48,nao,4,nao,low,0.4,2,nao
231,IT,0.78,nao,5,nao,low,0.8200000000000001,2,sim
257,product_mng,0.6900000000000001,nao,2,nao,low,0.75,2,sim
232,product_mng,0.53,nao,3,nao,low,0.8300000000000001,3,sim
212,product_mng,0.78,nao,4,nao,low,0.77,3,nao
198,product_mng,0.98,nao,4,nao,low,0.59,3,nao
240,IT,0.79,nao,5,nao,medium,0.8,4,nao
242,RandD,0.55,nao,3,nao,medium,0.84,3,nao
250,RandD,0.71,nao,4,nao,medium,0.88,3,nao
229,RandD,0.9,nao,3,nao,medium,0.37,6,nao
133,RandD,0.66,nao,4,nao,medium,0.88,2,nao
200,RandD,0.85,nao,3,nao,medium,0.6900000000000001,2,nao
155,marketing,0.49,nao,2,nao,medium,0.54,2,sim
139,sales,0.5700000000000001,nao,5,nao,medium,0.76,4,nao
272,accounting,0.58,nao,4,nao,medium,0.51,3,nao
100,support,0.52,nao,3,nao,medium,0.16,4,nao
160,technical,0.6000000000000001,nao,5,nao,medium,0.65,3,nao
195,management,0.81,nao,5,nao,medium,0.54,4,nao
152,marketing,0.68,nao,4,nao,high,0.66,3,nao
182,marketing,0.65,nao,5,nao,low,0.9500000000000001,3,nao
137,marketing,0.5700000000000001,nao,3,nao,medium,0.8300000000000001,2,nao
182,sales,0.84,nao,4,nao,medium,0.98,3,nao
217,sales,0.72,nao,3,nao,medium,0.72,2,nao
192,sales,0.62,nao,4,nao,medium,0.71,4,nao
116,sales,0.65,nao,3,nao,low,0.36,2,sim
170,sales,0.65,nao,4,nao,low,0.55,4,nao
223,sales,0.52,nao,3,nao,low,0.64,3,nao
174,sales,0.5700000000000001,nao,3,nao,low,0.62,2,nao
193,sales,0.9500000000000001,nao,3,nao,low,1.0,6,nao
167,sales,0.91,nao,6,nao,low,0.91,2,sim
225,sales,0.67,nao,4,nao,low,0.81,3,nao
248,sales,0.92,nao,4,nao,low,0.71,3,sim
104,sales,0.74,nao,3,nao,low,0.97,5,nao
148,sales,0.86,nao,6,nao,low,0.75,4,nao
148,sales,1.0,nao,3,nao,low,0.68,4,sim
187,sales,0.68,nao,5,nao,low,0.87,3,nao
151,sales,0.5700000000000001,nao,3,nao,low,0.96,2,nao
215,sales,0.86,nao,6,nao,low,0.41000000000000003,5,nao
142,sales,0.61,nao,4,nao,low,0.81,4,nao
258,sales,1.0,nao,6,nao,low,0.68,5,nao
228,accounting,0.56,nao,4,nao,low,0.63,3,nao
221,accounting,0.84,nao,2,nao,low,0.6000000000000001,3,nao
263,accounting,0.97,nao,3,nao,medium,0.66,3,nao
273,hr,0.8200000000000001,nao,4,nao,medium,0.6900000000000001,4,nao
247,hr,0.37,nao,3,nao,medium,0.23,4,nao
225,hr,0.63,nao,3,nao,medium,0.52,3,nao
269,hr,0.86,nao,4,nao,medium,0.65,2,sim
174,technical,0.4,nao,6,nao,medium,0.78,3,nao
201,technical,0.65,nao,5,nao,medium,0.6000000000000001,2,nao
254,technical,0.62,nao,3,nao,medium,0.9,3,nao
254,technical,0.9500000000000001,nao,5,nao,medium,0.59,2,nao
185,technical,0.78,nao,3,nao,medium,0.89,2,sim
200,technical,0.85,nao,4,nao,medium,0.96,4,nao
190,technical,0.76,nao,3,nao,medium,0.68,3,sim
160,technical,0.72,nao,2,nao,high,0.52,2,nao
264,technical,0.9400000000000001,nao,3,nao,low,0.68,2,nao
172,technical,0.59,nao,3,nao,medium,0.6000000000000001,3,nao
279,technical,0.8300000000000001,nao,5,nao,medium,0.28,4,nao
260,support,0.54,nao,5,nao,medium,0.98,3,nao
262,support,0.52,nao,4,nao,medium,0.67,2,nao
134,support,0.6000000000000001,nao,5,nao,low,0.86,2,sim
195,support,0.9,nao,3,nao,low,0.8300000000000001,3,nao
139,support,0.86,nao,3,nao,low,0.79,3,nao
205,support,0.86,nao,4,nao,low,0.54,5,nao
212,support,0.86,nao,5,nao,low,0.51,2,nao
148,support,0.65,nao,4,nao,low,0.75,2,nao
228,support,0.67,nao,4,nao,low,0.51,3,nao
230,support,0.74,nao,5,nao,low,0.73,3,nao
286,support,0.4,nao,4,nao,low,0.17,3,nao
142,technical,0.59,nao,4,nao,low,0.88,3,nao
161,technical,0.79,nao,3,nao,low,0.76,3,nao
152,technical,0.77,nao,3,nao,low,0.29,3,sim
266,management,0.97,nao,4,nao,low,0.62,3,nao
143,IT,0.85,nao,2,nao,low,0.5,3,nao
165,IT,0.65,nao,5,nao,low,0.16,3,nao
204,IT,0.99,nao,4,nao,low,0.18,6,nao
170,IT,0.68,nao,4,nao,low,0.86,2,nao
203,IT,0.52,nao,5,nao,low,0.68,3,nao
199,product_mng,0.85,nao,3,nao,low,0.68,3,nao
223,product_mng,0.78,nao,4,nao,low,0.89,3,nao
220,product_mng,0.88,nao,4,nao,low,0.86,2,nao
190,product_mng,0.41000000000000003,nao,4,nao,medium,0.43,3,nao
143,IT,0.58,nao,4,nao,medium,0.85,6,sim
111,RandD,0.8,nao,5,sim,medium,0.9400000000000001,4,nao
145,RandD,0.71,nao,4,sim,medium,0.58,3,sim
138,RandD,0.6000000000000001,nao,3,sim,medium,0.43,3,nao
203,RandD,0.49,nao,3,sim,medium,0.72,3,nao
175,RandD,0.96,nao,5,sim,medium,0.9500000000000001,3,sim
119,marketing,0.67,nao,3,sim,medium,0.35000000000000003,3,nao
157,sales,0.79,nao,3,sim,medium,0.77,3,nao
135,accounting,0.7000000000000001,nao,5,sim,medium,0.74,2,nao
200,support,0.6000000000000001,nao,4,sim,medium,0.5,2,nao
121,technical,0.56,nao,4,sim,medium,0.87,2,nao
162,management,0.48,nao,3,sim,high,0.55,3,nao
135,marketing,0.65,nao,3,sim,low,0.8,3,nao
183,marketing,0.52,nao,4,sim,medium,0.49,2,nao
228,marketing,0.92,nao,4,sim,medium,0.54,3,nao
148,sales,0.87,nao,4,nao,medium,0.21,5,nao
219,sales,0.77,nao,3,nao,medium,0.77,2,nao
147,sales,0.73,nao,4,nao,low,0.53,3,nao
165,sales,0.49,nao,5,nao,low,0.89,6,nao
218,sales,0.59,nao,4,nao,low,0.25,3,sim
231,sales,0.59,nao,3,nao,low,0.53,2,nao
124,sales,0.45,nao,2,nao,low,0.44,3,nao
131,sales,0.44,nao,2,nao,low,0.7000000000000001,2,nao
199,sales,0.76,nao,3,nao,low,0.54,4,nao
220,sales,0.56,nao,3,nao,low,0.9,3,nao
215,sales,0.8,nao,5,nao,low,0.6900000000000001,3,nao
180,sales,0.59,nao,4,nao,low,0.78,3,nao
272,sales,0.49,nao,6,nao,low,0.91,6,nao
228,sales,0.61,nao,2,nao,low,0.92,2,nao
168,sales,0.88,nao,3,nao,low,0.96,2,nao
205,sales,0.77,nao,4,nao,low,0.8,2,nao
244,sales,0.67,nao,3,nao,low,0.52,3,nao
185,sales,0.97,nao,3,nao,low,0.52,2,nao
135,sales,0.96,nao,5,nao,low,0.93,3,sim
160,accounting,0.9,nao,4,nao,low,0.89,2,nao
262,accounting,0.61,nao,4,nao,low,0.8300000000000001,4,nao
225,accounting,0.84,nao,6,nao,low,0.7000000000000001,6,nao
174,hr,0.74,nao,4,nao,low,0.89,2,nao
266,hr,0.37,nao,6,sim,medium,0.21,3,nao
241,hr,0.78,nao,4,sim,medium,0.67,4,nao
245,hr,0.97,nao,3,sim,medium,0.73,2,nao
261,technical,0.51,nao,3,sim,medium,0.85,4,nao
157,technical,0.85,nao,4,sim,medium,0.54,3,nao
286,technical,0.9400000000000001,nao,3,sim,medium,0.74,6,nao
263,technical,0.65,nao,4,sim,medium,0.71,2,sim
229,technical,0.52,nao,2,sim,medium,0.76,3,nao
159,technical,0.5,nao,4,sim,medium,0.85,2,nao
196,technical,0.89,nao,4,sim,medium,0.8200000000000001,3,nao
133,technical,0.79,nao,4,sim,medium,0.71,3,nao
228,technical,0.65,nao,5,sim,medium,0.79,3,nao
247,technical,0.56,nao,4,sim,high,0.86,3,nao
215,technical,0.78,nao,5,sim,low,0.9,3,nao
233,support,0.8,nao,6,sim,medium,0.65,3,sim
237,support,0.74,nao,5,sim,medium,0.53,2,nao
269,support,0.91,nao,4,sim,medium,0.51,5,nao
246,support,0.76,nao,6,sim,medium,1.0,3,sim
168,support,0.8200000000000001,nao,4,sim,low,0.92,3,nao
168,support,0.59,nao,3,sim,low,1.0,3,nao
163,support,0.67,nao,4,sim,low,0.23,5,nao
142,support,0.77,nao,3,sim,low,0.52,2,nao
183,support,0.8300000000000001,nao,4,sim,low,0.8,2,sim
264,support,0.72,nao,4,nao,low,0.59,3,nao
184,support,0.55,nao,2,nao,low,0.75,2,nao
138,technical,0.58,nao,4,nao,low,0.99,3,nao
195,technical,0.76,nao,3,nao,medium,0.5700000000000001,3,nao
251,technical,0.9500000000000001,nao,4,nao,medium,0.87,3,nao
108,management,0.47000000000000003,nao,3,nao,medium,0.52,5,nao
144,IT,0.9,nao,3,nao,medium,0.5700000000000001,2,nao
112,IT,0.77,nao,6,nao,medium,0.32,4,nao
201,IT,0.81,nao,2,nao,medium,0.66,3,nao
204,IT,0.8,nao,4,nao,medium,0.53,3,nao
226,IT,0.62,nao,5,nao,medium,0.55,3,nao
217,product_mng,0.9,nao,3,nao,medium,0.66,4,nao
149,product_mng,0.92,nao,4,nao,medium,0.6900000000000001,2,nao
237,product_mng,0.99,nao,5,nao,medium,0.67,3,nao
256,product_mng,0.37,nao,3,nao,medium,0.75,3,nao
194,IT,0.98,nao,4,nao,medium,0.7000000000000001,2,nao
202,RandD,0.74,nao,3,nao,medium,0.71,2,nao
133,RandD,0.6000000000000001,nao,5,nao,medium,0.97,2,nao
246,RandD,0.48,nao,3,nao,medium,0.5,3,nao
206,RandD,0.92,nao,3,nao,medium,0.34,3,nao
204,RandD,0.74,nao,3,nao,medium,0.67,3,nao
157,marketing,0.98,nao,4,nao,medium,0.78,3,nao
187,sales,0.91,nao,4,nao,medium,0.52,2,nao
211,accounting,0.51,nao,2,nao,medium,0.91,2,nao
204,support,0.92,nao,3,nao,medium,0.79,3,nao
182,technical,0.53,nao,5,nao,medium,0.8300000000000001,2,sim
244,management,0.76,nao,3,nao,medium,0.74,3,nao
184,marketing,0.97,nao,3,nao,medium,0.77,3,sim
117,marketing,0.71,nao,2,nao,high,0.49,3,nao
230,marketing,0.89,nao,3,nao,high,0.9400000000000001,3,sim
241,sales,0.91,nao,3,nao,high,0.99,2,nao
227,sales,0.84,nao,3,nao,high,0.6900000000000001,3,sim
147,sales,0.59,nao,5,nao,high,0.88,4,nao
240,sales,0.9,nao,3,nao,high,0.89,3,nao
238,sales,0.58,nao,4,nao,high,0.8,2,nao
262,sales,0.89,nao,4,nao,high,0.22,4,nao
215,sales,0.8300000000000001,nao,4,nao,high,0.87,2,nao
211,sales,0.66,nao,3,nao,high,0.66,4,nao
156,sales,0.68,nao,3,nao,high,0.9,3,sim
180,sales,0.54,nao,4,nao,high,0.9500000000000001,5,nao
260,sales,0.56,nao,4,nao,low,0.49,6,nao
228,sales,0.68,nao,4,nao,low,0.71,2,nao
249,sales,0.96,nao,2,nao,low,0.2,3,nao
242,sales,0.64,nao,3,nao,low,0.9500000000000001,5,sim
254,sales,0.8,nao,2,nao,low,0.68,2,sim
272,sales,0.68,nao,3,nao,low,0.93,2,sim
210,sales,0.5700000000000001,nao,5,nao,low,0.85,3,nao
140,sales,0.68,nao,3,nao,low,0.8200000000000001,2,nao
252,sales,0.42,nao,5,nao,low,0.87,5,nao
266,accounting,0.84,nao,3,nao,low,0.88,3,nao
138,accounting,0.79,nao,4,nao,low,0.98,3,nao
220,accounting,0.98,nao,3,nao,low,0.89,3,nao
214,hr,0.51,nao,5,nao,low,0.92,3,nao
121,hr,0.6000000000000001,nao,2,nao,low,0.48,5,nao
195,hr,0.49,nao,4,nao,low,0.67,3,nao
135,hr,0.55,nao,3,nao,medium,0.84,3,nao
261,technical,0.78,nao,4,nao,medium,0.97,2,nao
205,technical,0.53,nao,5,nao,medium,0.65,3,sim
240,technical,0.87,nao,5,nao,medium,0.79,2,sim
141,technical,0.75,nao,2,nao,medium,0.75,4,nao
200,technical,0.64,nao,4,nao,medium,0.6900000000000001,3,nao
257,technical,0.6000000000000001,nao,4,nao,medium,0.85,3,nao
141,technical,0.41000000000000003,nao,2,nao,medium,0.34,3,nao
185,technical,0.68,nao,3,nao,medium,0.97,2,nao
235,technical,0.99,nao,6,nao,medium,0.39,6,nao
264,technical,0.81,nao,4,nao,medium,0.54,4,nao
260,technical,0.67,nao,4,nao,medium,0.78,3,nao
158,support,0.79,nao,4,nao,high,0.49,3,nao
195,support,0.8300000000000001,nao,6,nao,high,0.17,5,nao
180,support,0.81,nao,3,nao,high,0.98,2,sim
114,support,1.0,nao,2,nao,high,0.9,5,nao
228,support,0.89,nao,5,nao,high,0.24,4,sim
243,support,0.79,nao,5,nao,high,0.92,3,sim
179,support,0.72,nao,3,nao,high,0.36,3,nao
158,support,0.76,nao,2,nao,high,0.19,3,nao
254,support,0.76,nao,4,nao,low,0.75,4,nao
220,support,0.81,nao,3,nao,low,0.91,3,sim
171,support,0.9500000000000001,nao,5,nao,low,0.72,3,nao
142,technical,0.64,nao,4,nao,low,0.62,2,nao
241,technical,0.75,nao,3,nao,low,0.97,2,nao
275,technical,0.64,nao,3,nao,low,0.6900000000000001,3,nao
157,management,0.56,nao,3,nao,low,0.98,2,nao
169,IT,0.53,nao,5,nao,low,0.62,3,nao
233,IT,0.8200000000000001,nao,2,nao,medium,0.59,2,nao
160,IT,0.98,nao,4,nao,medium,0.73,3,nao
189,IT,0.79,nao,3,nao,medium,0.71,3,nao
273,IT,0.58,nao,4,nao,medium,0.85,4,nao
141,product_mng,0.9400000000000001,nao,4,nao,medium,0.8,3,sim
134,product_mng,0.38,nao,3,nao,medium,0.48,3,nao
248,product_mng,0.4,nao,3,nao,medium,0.64,3,nao
222,product_mng,0.64,nao,6,nao,medium,0.19,5,nao
219,IT,0.6900000000000001,nao,5,nao,medium,0.8200000000000001,3,nao
202,RandD,0.96,nao,4,nao,medium,0.99,3,nao
200,RandD,0.58,nao,3,nao,medium,0.45,2,nao
138,RandD,0.89,nao,3,nao,medium,0.89,2,nao
158,RandD,0.78,nao,4,nao,medium,0.75,5,sim
136,RandD,0.86,nao,3,nao,medium,0.8,2,nao
222,marketing,0.49,nao,4,nao,medium,0.78,2,nao
236,sales,0.76,nao,3,nao,medium,0.9500000000000001,2,sim
135,accounting,0.67,nao,4,nao,medium,0.68,2,nao
235,support,0.97,nao,5,nao,medium,0.8200000000000001,3,nao
274,technical,0.6900000000000001,nao,4,nao,medium,0.9,2,nao
235,management,0.99,nao,3,nao,medium,0.59,2,nao
169,marketing,0.5700000000000001,nao,3,nao,medium,0.66,4,sim
286,marketing,0.56,nao,5,nao,medium,0.63,4,nao
166,marketing,0.78,nao,3,nao,medium,0.73,2,nao
236,sales,0.93,nao,3,nao,high,0.63,4,nao
197,sales,0.62,nao,5,nao,low,0.87,2,nao
169,sales,0.87,nao,6,nao,medium,0.62,2,sim
210,sales,0.9,nao,3,nao,medium,0.53,3,nao
156,sales,0.8300000000000001,nao,4,nao,medium,0.9400000000000001,2,nao
231,sales,0.55,nao,5,nao,medium,0.9400000000000001,2,nao
101,sales,0.64,nao,3,nao,medium,0.55,2,sim
259,sales,0.72,nao,4,nao,medium,0.58,3,nao
203,sales,0.88,nao,5,nao,medium,0.98,5,sim
255,sales,0.76,nao,5,nao,medium,0.74,4,nao
131,sales,0.48,nao,3,nao,medium,0.65,3,sim
272,sales,0.79,nao,2,nao,medium,0.97,2,nao
253,sales,0.75,nao,4,nao,low,0.58,2,nao
254,sales,0.77,nao,2,nao,low,0.49,2,nao
214,sales,0.98,nao,3,nao,low,0.6900000000000001,2,nao
195,sales,0.49,nao,5,nao,low,0.55,3,nao
240,sales,0.89,nao,4,nao,low,0.65,3,nao
149,sales,0.49,nao,4,nao,low,0.87,2,nao
276,sales,0.7000000000000001,nao,4,nao,low,0.12,4,nao
247,accounting,0.84,nao,4,nao,high,0.65,4,nao
212,accounting,0.66,nao,4,nao,low,0.23,4,sim
256,accounting,0.77,nao,4,nao,high,0.62,3,nao
178,hr,0.72,nao,4,nao,high,0.86,2,nao
255,hr,0.6000000000000001,nao,4,nao,low,0.85,4,nao
224,hr,0.76,nao,3,nao,low,0.74,2,nao
204,hr,0.76,nao,2,nao,high,0.53,4,nao
104,technical,0.44,nao,6,nao,low,0.99,6,nao
113,technical,0.81,nao,5,nao,medium,0.48,3,nao
243,technical,0.74,nao,3,nao,high,0.72,2,nao
242,technical,0.72,nao,3,nao,medium,0.76,5,sim
177,technical,0.7000000000000001,nao,4,nao,medium,0.41000000000000003,3,nao
235,technical,0.88,nao,3,nao,medium,0.85,2,nao
175,technical,0.49,nao,4,nao,medium,0.62,3,nao
280,technical,0.78,nao,4,nao,high,0.16,6,nao
205,technical,0.61,nao,3,nao,medium,0.58,2,nao
243,technical,0.9500000000000001,nao,4,nao,medium,0.73,3,nao
150,technical,0.76,nao,3,nao,medium,0.28,2,nao
178,support,0.61,nao,4,nao,high,0.77,2,sim
231,support,0.86,nao,3,nao,medium,0.85,3,nao
134,support,0.76,nao,3,nao,high,0.56,2,nao
143,support,1.0,nao,5,nao,low,0.81,2,nao
156,support,0.87,nao,3,nao,medium,0.8300000000000001,3,nao
249,support,0.48,nao,4,nao,medium,0.49,3,nao
247,support,0.97,nao,3,nao,medium,0.81,3,nao
222,support,0.92,nao,5,nao,medium,0.56,4,nao
160,support,0.8300000000000001,nao,3,nao,low,0.77,3,nao
224,support,0.5,nao,4,nao,low,0.73,4,sim
235,support,0.72,nao,4,nao,low,0.9500000000000001,2,nao
167,technical,0.68,nao,5,nao,low,0.6900000000000001,3,nao
104,technical,0.89,nao,3,nao,low,0.79,4,nao
160,technical,0.5700000000000001,nao,5,nao,low,0.63,2,nao
168,management,0.79,nao,4,nao,low,0.8,3,nao
153,IT,0.61,nao,2,nao,low,0.64,2,nao
249,IT,0.9,nao,4,nao,low,0.92,3,nao
177,IT,0.75,nao,4,nao,low,0.96,2,nao
225,IT,0.85,nao,3,nao,high,0.56,3,nao
186,IT,0.61,nao,3,nao,low,0.37,2,nao
133,product_mng,0.8200000000000001,nao,3,nao,low,0.5,2,sim
213,product_mng,0.58,nao,4,nao,low,0.49,4,sim
245,product_mng,0.73,nao,3,nao,low,1.0,2,sim
160,product_mng,0.75,nao,5,nao,high,0.8200000000000001,3,sim
212,IT,0.54,nao,4,nao,low,0.52,3,nao
135,RandD,0.96,nao,4,sim,low,0.76,3,sim
149,RandD,0.53,nao,3,sim,low,0.2,4,nao
178,RandD,0.9,nao,4,sim,high,0.6000000000000001,3,nao
224,RandD,0.9,nao,6,sim,low,0.6900000000000001,4,nao
196,RandD,0.51,nao,3,sim,medium,0.93,2,nao
178,marketing,0.64,nao,4,sim,high,0.7000000000000001,3,sim
191,sales,0.54,nao,4,sim,medium,0.56,2,sim
167,accounting,0.61,nao,4,sim,high,0.97,3,nao
275,support,0.65,nao,6,sim,medium,0.24,5,sim
168,technical,0.91,nao,3,sim,medium,0.8300000000000001,3,nao
152,management,0.85,nao,3,sim,medium,0.55,2,nao
263,marketing,0.99,nao,3,sim,medium,0.68,3,sim
113,marketing,0.53,nao,3,nao,medium,0.48,4,nao
253,marketing,0.9500000000000001,nao,3,nao,medium,0.75,3,nao
271,sales,0.5,nao,4,nao,medium,0.61,3,sim
165,sales,0.74,nao,4,nao,medium,0.5,2,sim
257,sales,0.54,nao,5,nao,high,0.78,3,nao
244,sales,0.68,nao,4,nao,low,0.61,3,nao
179,sales,0.5,nao,4,nao,medium,0.48,3,nao
248,sales,0.92,nao,3,nao,medium,0.93,2,nao
224,sales,0.58,nao,3,nao,medium,0.78,2,nao
236,sales,0.99,nao,5,nao,medium,0.92,4,nao
213,sales,0.98,nao,5,nao,medium,0.71,3,nao
238,sales,0.42,nao,4,nao,medium,0.15,3,nao
153,sales,0.8300000000000001,nao,5,nao,medium,0.14,5,sim
247,sales,0.72,nao,4,nao,medium,0.56,2,nao
154,sales,0.84,nao,3,nao,medium,1.0,3,nao
147,sales,0.8200000000000001,nao,3,nao,high,0.77,4,nao
150,sales,0.66,nao,3,nao,low,0.86,2,nao
137,sales,0.9500000000000001,nao,3,nao,low,0.88,3,nao
179,sales,0.84,nao,5,nao,low,0.85,3,nao
194,sales,0.56,nao,5,nao,high,0.9500000000000001,2,nao
224,sales,0.65,nao,4,nao,low,0.65,3,nao
253,accounting,0.55,nao,3,nao,low,0.7000000000000001,2,sim
177,accounting,0.55,nao,3,nao,low,0.6000000000000001,3,sim
215,accounting,0.8300000000000001,nao,3,nao,high,0.84,3,nao
245,hr,0.59,nao,5,nao,low,0.23,5,nao
134,hr,0.75,nao,3,nao,low,0.89,3,nao
273,hr,0.91,nao,4,nao,low,0.98,2,nao
163,hr,0.8300000000000001,nao,4,nao,low,0.88,3,nao
152,technical,0.52,nao,3,nao,low,0.87,4,nao
268,technical,0.96,nao,3,nao,low,0.93,4,nao
149,technical,0.9500000000000001,nao,5,nao,low,0.13,2,nao
128,technical,0.56,nao,6,nao,medium,0.99,4,nao
218,technical,0.51,nao,3,nao,medium,0.52,2,sim
146,technical,0.98,nao,3,nao,medium,0.58,3,nao
190,technical,0.5700000000000001,nao,5,nao,medium,0.85,2,sim
182,technical,0.59,nao,2,nao,medium,0.41000000000000003,3,nao
162,technical,0.8,nao,5,nao,medium,1.0,3,sim
243,technical,0.64,nao,3,nao,medium,0.63,3,nao
141,technical,0.58,nao,4,nao,medium,0.63,3,sim
142,support,0.9,nao,3,nao,medium,0.63,3,nao
203,support,0.62,nao,3,nao,medium,0.59,4,nao
168,support,0.77,nao,4,nao,medium,0.88,4,nao
149,support,0.7000000000000001,nao,3,nao,medium,0.72,3,nao
168,support,0.81,nao,4,nao,high,0.67,2,nao
190,support,0.54,nao,2,nao,low,0.41000000000000003,4,nao
229,support,0.68,nao,3,nao,medium,0.30000000000000004,6,nao
249,support,0.84,nao,3,nao,medium,0.8300000000000001,2,nao
162,support,0.93,nao,4,nao,medium,0.73,2,sim
163,support,0.9,nao,4,nao,medium,0.87,2,nao
169,support,0.74,nao,2,nao,low,0.93,4,nao
257,technical,0.91,nao,4,nao,low,0.97,3,sim
150,technical,0.54,nao,4,nao,low,0.7000000000000001,4,nao
183,technical,0.9500000000000001,nao,4,nao,low,0.66,3,nao
208,management,0.66,nao,3,nao,low,0.62,3,nao
158,IT,0.52,nao,4,nao,low,0.56,2,nao
240,IT,0.72,nao,2,nao,low,0.32,5,nao
